"","location","date","total_cases","new_cases","total_deaths","new_deaths","total_vaccinations","people_vaccinated","new_vaccinations","population"
"1","Brazil",2021-01-17,8488099,33040,209847,551,112,112,112,212559409
"2","Brazil",2021-01-18,8511770,23671,210299,452,1109,1109,997,212559409
"3","Brazil",2021-01-19,8573864,62094,211491,1192,11470,11470,10361,212559409
"4","Brazil",2021-01-20,8638249,64385,212831,1340,28543,28543,17073,212559409
"5","Brazil",2021-01-21,8697368,59119,214147,1316,136519,136519,107976,212559409
"6","Brazil",2021-01-22,8753920,56552,215243,1096,245877,245877,109358,212559409
"7","Brazil",2021-01-23,8816254,62334,216445,1202,537774,537774,291897,212559409
"8","Brazil",2021-01-24,8844577,28323,217037,592,604722,604722,66948,212559409
"9","Brazil",2021-01-25,8871393,26816,217664,627,700608,700608,95886,212559409
"10","Brazil",2021-01-26,8933356,61963,218878,1214,848883,848883,148275,212559409
"11","Brazil",2021-01-27,8996876,63520,220161,1283,1129885,1129885,281002,212559409
"12","Brazil",2021-01-28,9058687,61811,221547,1386,1450900,1450900,321015,212559409
"13","Brazil",2021-01-29,9118513,59826,222666,1119,1668032,1656851,217132,212559409
"14","Brazil",2021-01-30,9176975,58462,223945,1279,2003211,1923813,335179,212559409
"15","Brazil",2021-01-31,9204731,27756,224504,559,2074059,2046523,70848,212559409
"18","France",2020-12-28,2619616,3106,63235,368,52,52,39,65273512
"19","France",2020-12-29,2631110,11494,64204,969,138,138,86,65273512
"20","France",2020-12-30,2657624,26514,64508,304,237,237,99,65273512
"21","France",2020-12-31,2677666,20042,64759,251,316,316,79,65273512
"22","France",2021-01-01,2697014,19348,64892,133,325,325,9,65273512
"23","France",2021-01-02,2700480,3466,65048,156,367,367,42,65273512
"24","France",2021-01-03,2712975,12495,65164,116,441,441,74,65273512
"25","France",2021-01-04,2717059,4084,65549,385,1800,1800,1359,65273512
"26","France",2021-01-05,2737884,20825,66417,868,6744,6744,4944,65273512
"27","France",2021-01-06,2763116,25232,66699,282,17064,17064,10320,65273512
"28","France",2021-01-07,2763370,254,66700,1,43282,43282,26218,65273512
"29","France",2021-01-08,2804743,41373,67566,866,76022,76022,32740,65273512
"30","France",2021-01-09,2824920,20177,67734,168,86315,86315,10293,65273512
"31","France",2021-01-10,2840864,15944,67885,151,91629,91629,5314,65273512
"32","France",2021-01-11,2844680,3816,68197,312,125412,125412,33783,65273512
"33","France",2021-01-12,2864360,19680,68939,742,179119,179119,53707,65273512
"34","France",2021-01-13,2888292,23932,69168,229,235786,235786,56667,65273512
"35","France",2021-01-14,2909723,21431,69452,284,306206,306206,70420,65273512
"36","France",2021-01-15,2931396,21673,70090,638,364846,364846,58640,65273512
"37","France",2021-01-16,2931686,290,70093,3,382326,382326,17480,65273512
"38","France",2021-01-17,2969091,37405,70422,329,391910,391910,9584,65273512
"39","France",2021-01-18,2972889,3798,70826,404,468073,468073,76163,65273512
"42","Germany",2020-12-28,1672643,14004,31145,848,43694,43694,19834,83783945
"43","Germany",2020-12-29,1692109,19466,32267,1122,86940,86940,43246,83783945
"44","Germany",2020-12-30,1741153,49044,33230,963,144394,144394,57454,83783945
"45","Germany",2020-12-31,1760520,19367,33791,561,182453,182453,38059,83783945
"46","Germany",2021-01-01,1762637,2117,34145,354,206918,206918,24465,83783945
"47","Germany",2021-01-02,1773540,10903,34480,335,257295,257295,50377,83783945
"48","Germany",2021-01-03,1783896,10356,34791,311,282144,282144,24849,83783945
"49","Germany",2021-01-04,1796216,12320,35748,957,330811,330811,48667,83783945
"50","Germany",2021-01-05,1814565,18349,36757,1009,382785,382785,51974,83783945
