"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",2017-08-18,"Bayern Munich","Leverkusen",3,1,"H"
"2",2017-08-19,"Hamburg","Augsburg",1,0,"H"
"3",2017-08-19,"Hertha","Stuttgart",2,0,"H"
"4",2017-08-19,"Hoffenheim","Werder Bremen",1,0,"H"
"5",2017-08-19,"Mainz","Hannover",0,1,"A"
"6",2017-08-19,"Schalke 04","RB Leipzig",2,0,"H"
"7",2017-08-19,"Wolfsburg","Dortmund",0,3,"A"
"8",2017-08-20,"Freiburg","Ein Frankfurt",0,0,"D"
"9",2017-08-20,"M'gladbach","FC Koln",1,0,"H"
"10",2017-08-25,"FC Koln","Hamburg",1,3,"A"
"11",2017-08-26,"Augsburg","M'gladbach",2,2,"D"
"12",2017-08-26,"Dortmund","Hertha",2,0,"H"
"13",2017-08-26,"Ein Frankfurt","Wolfsburg",0,1,"A"
"14",2017-08-26,"Leverkusen","Hoffenheim",2,2,"D"
"15",2017-08-26,"Stuttgart","Mainz",1,0,"H"
"16",2017-08-26,"Werder Bremen","Bayern Munich",0,2,"A"
"17",2017-08-27,"Hannover","Schalke 04",1,0,"H"
"18",2017-08-27,"RB Leipzig","Freiburg",4,1,"H"
"19",2017-09-08,"Hamburg","RB Leipzig",0,2,"A"
"20",2017-09-09,"Augsburg","FC Koln",3,0,"H"
"21",2017-09-09,"Freiburg","Dortmund",0,0,"D"
"22",2017-09-09,"Hoffenheim","Bayern Munich",2,0,"H"
"23",2017-09-09,"Mainz","Leverkusen",3,1,"H"
"24",2017-09-09,"M'gladbach","Ein Frankfurt",0,1,"A"
"25",2017-09-09,"Wolfsburg","Hannover",1,1,"D"
"26",2017-09-10,"Hertha","Werder Bremen",1,1,"D"
"27",2017-09-10,"Schalke 04","Stuttgart",3,1,"H"
"28",2017-09-15,"Hannover","Hamburg",2,0,"H"
"29",2017-09-16,"Bayern Munich","Mainz",4,0,"H"
"30",2017-09-16,"Ein Frankfurt","Augsburg",1,2,"A"
"31",2017-09-16,"RB Leipzig","M'gladbach",2,2,"D"
"32",2017-09-16,"Stuttgart","Wolfsburg",1,0,"H"
"33",2017-09-16,"Werder Bremen","Schalke 04",1,2,"A"
"34",2017-09-17,"Dortmund","FC Koln",5,0,"H"
"35",2017-09-17,"Hoffenheim","Hertha",1,1,"D"
"36",2017-09-17,"Leverkusen","Freiburg",4,0,"H"
"37",2017-09-19,"Augsburg","RB Leipzig",1,0,"H"
"38",2017-09-19,"M'gladbach","Stuttgart",2,0,"H"
"39",2017-09-19,"Schalke 04","Bayern Munich",0,3,"A"
"40",2017-09-19,"Wolfsburg","Werder Bremen",1,1,"D"
"41",2017-09-20,"FC Koln","Ein Frankfurt",0,1,"A"
"42",2017-09-20,"Freiburg","Hannover",1,1,"D"
"43",2017-09-20,"Hamburg","Dortmund",0,3,"A"
"44",2017-09-20,"Hertha","Leverkusen",2,1,"H"
"45",2017-09-20,"Mainz","Hoffenheim",2,3,"A"
"46",2017-09-22,"Bayern Munich","Wolfsburg",2,2,"D"
"47",2017-09-23,"Dortmund","M'gladbach",6,1,"H"
"48",2017-09-23,"Hoffenheim","Schalke 04",2,0,"H"
"49",2017-09-23,"Mainz","Hertha",1,0,"H"
"50",2017-09-23,"RB Leipzig","Ein Frankfurt",2,1,"H"
"51",2017-09-23,"Stuttgart","Augsburg",0,0,"D"
"52",2017-09-23,"Werder Bremen","Freiburg",0,0,"D"
"53",2017-09-24,"Hannover","FC Koln",0,0,"D"
"54",2017-09-24,"Leverkusen","Hamburg",3,0,"H"
"55",2017-09-29,"Schalke 04","Leverkusen",1,1,"D"
"56",2017-09-30,"Augsburg","Dortmund",1,2,"A"
"57",2017-09-30,"Ein Frankfurt","Stuttgart",2,1,"H"
"58",2017-09-30,"Hamburg","Werder Bremen",0,0,"D"
"59",2017-09-30,"M'gladbach","Hannover",2,1,"H"
"60",2017-09-30,"Wolfsburg","Mainz",1,1,"D"
"61",2017-10-01,"FC Koln","RB Leipzig",1,2,"A"
"62",2017-10-01,"Freiburg","Hoffenheim",3,2,"H"
"63",2017-10-01,"Hertha","Bayern Munich",2,2,"D"
"64",2017-10-13,"Stuttgart","FC Koln",2,1,"H"
"65",2017-10-14,"Bayern Munich","Freiburg",5,0,"H"
"66",2017-10-14,"Dortmund","RB Leipzig",2,3,"A"
"67",2017-10-14,"Hannover","Ein Frankfurt",1,2,"A"
"68",2017-10-14,"Hertha","Schalke 04",0,2,"A"
"69",2017-10-14,"Hoffenheim","Augsburg",2,2,"D"
"70",2017-10-14,"Mainz","Hamburg",3,2,"H"
"71",2017-10-15,"Leverkusen","Wolfsburg",2,2,"D"
"72",2017-10-15,"Werder Bremen","M'gladbach",0,2,"A"
"73",2017-10-20,"Schalke 04","Mainz",2,0,"H"
"74",2017-10-21,"Augsburg","Hannover",1,2,"A"
"75",2017-10-21,"Ein Frankfurt","Dortmund",2,2,"D"
"76",2017-10-21,"Hamburg","Bayern Munich",0,1,"A"
"77",2017-10-21,"M'gladbach","Leverkusen",1,5,"A"
"78",2017-10-21,"RB Leipzig","Stuttgart",1,0,"H"
"79",2017-10-22,"FC Koln","Werder Bremen",0,0,"D"
"80",2017-10-22,"Freiburg","Hertha",1,1,"D"
"81",2017-10-22,"Wolfsburg","Hoffenheim",1,1,"D"
"82",2017-10-27,"Mainz","Ein Frankfurt",1,1,"D"
"83",2017-10-28,"Bayern Munich","RB Leipzig",2,0,"H"
"84",2017-10-28,"Hannover","Dortmund",4,2,"H"
